City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cape Town,-33.9258,18.4232,68.0,68,75,14.97,ZA,1619436381
Severo-Kuril'sk,50.6789,156.125,30.07,95,100,17.36,RU,1619436524
Port Alfred,-33.5906,26.891,84.7,41,100,9.28,ZA,1619436525
Olinda,-8.0089,-34.8553,78.8,78,40,4.61,BR,1619436525
Nome,64.5011,-165.4064,35.6,75,90,6.15,US,1619436525
Leningradskiy,69.3833,178.4167,13.57,97,42,3.91,RU,1619436525
Erenhot,43.6475,111.9767,50.99,25,31,26.26,CN,1619436514
Belém de São Francisco,-8.7539,-38.9658,78.58,69,16,12.44,BR,1619436525
Saint-François,46.4154,3.9054,64.99,45,0,10.36,FR,1619436526
Sinnamary,5.3833,-52.95,77.76,88,100,9.4,GF,1619436526
Egvekinot,66.3167,-179.1667,16.14,86,52,5.44,RU,1619436526
Lethem,3.3803,-59.7968,75.97,86,99,8.88,GY,1619436526
Vila Velha,-20.3297,-40.2925,80.01,83,0,5.75,BR,1619436526
Saint Paul Harbor,57.79,-152.4072,37.4,87,1,3.44,US,1619436527
Chumikan,54.7183,135.315,31.32,94,99,6.08,RU,1619436527
Kiryat Gat,31.61,34.7642,75.99,51,12,1.01,IL,1619436527
Port Augusta,-32.5,137.7667,60.8,88,1,5.75,AU,1619436527
Mackay,-21.15,149.2,73.4,68,39,11.5,AU,1619436270
Bethel,41.3712,-73.414,42.8,49,1,6.91,US,1619436527
Thompson,55.7435,-97.8558,23.0,93,90,4.61,CA,1619436528
Avarua,-21.2078,-159.775,71.6,100,45,3.44,CK,1619436528
Coihueco,-36.6167,-71.8333,50.0,61,90,9.22,CL,1619436528
Gamba,-2.65,10.0,86.49,66,60,7.4,GA,1619436528
Klaksvík,62.2266,-6.589,48.2,76,100,12.66,FO,1619436528
Voyvozh,62.892,54.9635,44.08,52,98,8.68,RU,1619436528
Aberdeen,57.1437,-2.0981,46.99,87,100,6.91,GB,1619436528
Arman',59.7,150.1667,16.41,84,3,2.44,RU,1619436528
Oranjemund,-28.55,16.4333,68.68,73,84,12.86,NA,1619436529
Yarmouth,41.7057,-70.2286,46.99,61,1,11.5,US,1619436529
Lahaina,20.8783,-156.6825,71.6,78,75,9.22,US,1619436529
Qaanaaq,77.484,-69.3632,32.2,65,62,9.1,GL,1619436529
São João da Barra,-21.6403,-41.0511,75.2,94,90,4.09,BR,1619436529
Vaini,-21.2,-175.2,75.2,94,75,5.75,TO,1619436529
Bowen,-20.0167,148.2333,68.0,77,51,6.91,AU,1619436529
Dul'durga,50.6761,113.5931,35.76,84,90,26.46,RU,1619436529
Margate,51.3813,1.3862,50.0,51,44,4.0,GB,1619436530
Ambon City,-3.6954,128.1814,77.0,88,20,6.91,ID,1619436530
Ust-Nera,64.5667,143.2,9.61,98,91,3.74,RU,1619436530
Provideniya,64.3833,-173.3,32.23,93,84,0.85,RU,1619436530
Casambalangan,18.3765,122.1274,75.34,76,71,11.14,PH,1619436530
Sisimiut,66.9395,-53.6735,42.22,63,100,10.0,GL,1619436530
Hong Kong,22.2855,114.1577,75.0,80,100,16.71,HK,1619436473
Saint-Joseph,-21.3667,55.6167,82.0,69,75,17.27,RE,1619436530
Novy Urengoy,66.0833,76.6333,33.66,99,94,14.99,RU,1619436531
Sitka,57.0531,-135.33,42.8,61,1,1.52,US,1619436531
Teya,60.3778,92.6267,42.57,59,8,3.29,RU,1619436531
Palmer,42.1584,-72.3287,41.0,56,40,12.66,US,1619436531
Portland,45.5234,-122.6762,50.0,76,90,2.26,US,1619436414
Buchanan,5.8808,-10.0467,86.0,74,75,6.91,LR,1619436531
Evensk,61.95,159.2333,11.71,95,99,5.01,RU,1619436531
Tahoua,14.8888,5.2692,104.0,18,0,6.91,NE,1619436531
Hithadhoo,-0.6,73.0833,83.77,64,63,7.05,MV,1619436532
Turukhansk,65.8167,87.9833,28.47,85,36,2.8,RU,1619436532
Hay River,60.8156,-115.7999,3.2,85,100,10.36,CA,1619436532
Itoman,26.1247,127.6694,71.6,60,20,5.75,JP,1619436533
Zhangjiakou,40.81,114.8794,63.18,9,91,18.95,CN,1619436325
Hannoversch Münden,51.4151,9.6505,50.0,34,0,3.44,DE,1619436533
Port Pirie,-33.1833,138.0167,60.8,88,23,5.75,AU,1619436533
Norman Wells,65.282,-126.8329,17.6,79,90,8.05,CA,1619436533
Jalu,29.0331,21.5482,77.61,27,0,5.95,LY,1619436534
Rahā,26.2333,92.5167,103.12,10,67,15.01,IN,1619436534
Walvis Bay,-22.9575,14.5053,71.6,60,0,4.61,NA,1619436535
Panjāb,34.388,67.0233,64.76,16,44,11.34,AF,1619436535
Morant Bay,17.8815,-76.4093,77.0,78,20,6.91,JM,1619436535
Padang,-0.9492,100.3543,84.2,70,75,4.61,ID,1619436535
Sawtell,-30.3833,153.1,59.0,88,19,4.25,AU,1619436535
Sechura,-5.5569,-80.8222,68.76,78,87,11.41,PE,1619436535
Sabha,27.0377,14.4283,88.99,13,0,10.0,LY,1619436535
Kumul,42.8,93.45,61.03,6,7,1.12,CN,1619436535
San Cristobal,7.7669,-72.225,75.2,100,75,2.3,VE,1619436536
Ust-Maya,60.4167,134.5333,35.04,98,100,6.08,RU,1619436536
Berëzovka,53.7214,25.4993,42.91,51,88,10.74,BY,1619436536
Bilma,18.6853,12.9164,104.81,7,0,8.3,NE,1619436537
Alberton,46.8168,-64.0654,41.0,100,100,12.66,CA,1619436537
Puyang,29.4603,119.8861,64.92,73,97,3.27,CN,1619436399
Pontian Kecil,1.4801,103.3899,80.6,89,20,5.32,MY,1619436538
Cabo San Lucas,22.8909,-109.9124,66.99,38,97,12.82,MX,1619436538
Rapid Valley,44.0625,-103.1463,46.0,76,1,4.61,US,1619436538
Avera,33.194,-82.5271,53.6,74,1,3.44,US,1619436539
Birao,10.2849,22.7882,101.52,22,58,5.01,CF,1619436539
Alyangula,-13.8483,136.4192,77.0,100,100,5.55,AU,1619436539
Khatanga,71.9667,102.5,16.57,88,71,13.18,RU,1619436539
Kenai,60.5544,-151.2583,35.01,80,1,4.74,US,1619436539
Kotovo,50.3211,44.8012,51.44,43,100,8.28,RU,1619436539
Ancud,-41.8697,-73.8203,48.2,100,90,5.75,CL,1619436539
George Town,5.4112,100.3354,87.01,74,20,5.75,MY,1619436539
Leh,34.1667,77.5833,46.44,26,4,4.52,IN,1619436540
Santarém,-2.4431,-54.7083,78.8,94,75,2.3,BR,1619436540
Port Lincoln,-34.7333,135.8667,61.41,73,0,8.25,AU,1619436540
Hualmay,-11.0964,-77.6139,65.16,90,13,6.53,PE,1619436540
Husavik,66.0449,-17.3389,35.6,75,75,10.36,IS,1619436540
Oyama,36.3,139.8,61.0,32,20,10.36,JP,1619436540
Bariloche,-41.1456,-71.3082,30.2,86,20,3.44,AR,1619436540
Progreso,21.2833,-89.6667,73.4,83,1,6.91,MX,1619436540
Sāmba,32.5667,75.1167,98.2,9,0,6.89,IN,1619436541
Castro,-24.7911,-50.0119,56.57,92,23,2.28,BR,1619436541
Fort Nelson,58.8053,-122.7002,32.0,51,75,14.97,CA,1619436541
Deputatsky,69.3,139.9,16.57,91,94,3.47,RU,1619436541
Hasaki,35.7333,140.8333,50.0,62,20,4.61,JP,1619436344
Tegul'det,57.3064,88.1667,45.57,86,82,3.47,RU,1619436541
Tubualá,9.5167,-79.0333,73.4,88,20,3.44,PA,1619436541
Praia,14.9215,-23.5087,75.2,60,20,20.71,CV,1619436541
Fagersta,60.0042,15.7932,43.0,38,0,10.36,SE,1619436541
Eureka,40.8021,-124.1637,46.0,93,90,5.75,US,1619436542
Stokmarknes,68.5646,14.9108,39.2,93,90,10.36,NO,1619436542
Lebu,-37.6167,-73.65,51.98,90,4,9.15,CL,1619436542
Lady Frere,-31.7031,27.2329,81.88,15,100,3.67,ZA,1619436542
Puqi,29.7167,113.8833,58.12,95,100,1.3,CN,1619436542
Saint-Pierre,-21.3393,55.4781,82.0,69,75,17.27,RE,1619436305
Lompoc,34.6391,-120.4579,51.8,82,95,3.62,US,1619436542
Maniitsoq,65.4167,-52.9,34.81,90,99,4.9,GL,1619436542
Adrar,20.5022,-10.0711,90.14,14,67,8.7,MR,1619436543
Tiksi,71.6872,128.8694,20.68,95,100,12.28,RU,1619436543
Huilong,31.8111,121.655,64.99,85,68,1.99,CN,1619436543
Mahébourg,-20.4081,57.7,78.8,83,75,13.8,MU,1619436543
Chui,-33.6971,-53.4616,58.19,79,91,8.32,UY,1619436543
Ulladulla,-35.35,150.4667,53.6,100,40,2.51,AU,1619436543
Clyde River,70.4692,-68.5914,23.0,93,90,3.44,CA,1619436543
Lagoa,39.05,-27.9833,59.83,82,95,7.61,PT,1619436543
Baoning,25.3378,110.026,64.4,88,90,3.0,CN,1619436543
Teluknaga,-6.0989,106.6381,87.01,70,20,10.36,ID,1619436544
Jumla,29.2747,82.1838,67.5,23,54,6.44,NP,1619436544
Coquimbo,-29.9533,-71.3436,55.4,88,90,4.61,CL,1619436544
Tarauacá,-8.1614,-70.7656,70.2,99,100,1.32,BR,1619436544
Osmaniye,37.0742,36.2478,69.01,78,16,18.99,TR,1619436544
Sampit,-2.5333,112.95,77.23,94,92,3.33,ID,1619436544
Faanui,-16.4833,-151.75,80.64,67,2,2.93,PF,1619436544
Alappuzha,9.49,76.3264,86.02,68,56,10.71,IN,1619436544
Mountain Home,43.133,-115.6912,42.8,100,20,5.75,US,1619436545
Shakiso,5.75,38.9167,67.17,85,100,2.15,ET,1619436545
Porto-Novo,6.4965,2.6036,89.6,70,40,9.22,BJ,1619436545
Centralia,46.7162,-122.9543,42.8,100,90,2.46,US,1619436545
Goderich,43.7501,-81.7165,28.4,74,79,2.3,CA,1619436545
Semnan,35.5729,53.3971,84.88,18,93,9.57,IR,1619436545
Arteaga,18.4667,-102.4167,61.84,52,44,1.41,MX,1619436545
Poya,-21.35,165.15,70.95,75,84,9.75,NC,1619436546
Berlevåg,70.8578,29.0864,33.8,80,75,18.41,NO,1619436546
Kolpashevo,58.3131,82.9089,46.49,85,100,9.71,RU,1619436546
Mount Gambier,-37.8333,140.7667,53.6,94,90,2.3,AU,1619436420
Jiuquan,39.7432,98.5174,58.5,12,57,26.51,CN,1619436546
Yārāda,17.65,83.2667,91.4,62,14,8.05,IN,1619436546
Qui Nhon,13.7667,109.2333,81.3,85,28,11.01,VN,1619436283
Cidreira,-30.1811,-50.2056,61.66,78,86,14.03,BR,1619436546
Fort Saint James,54.4333,-124.25,31.98,71,4,3.24,CA,1619436546
Methóni,36.8197,21.7049,69.8,60,20,8.05,GR,1619436547
São Filipe,14.8961,-24.4956,72.55,71,22,9.33,CV,1619436547
Komatipoort,-25.4332,31.9548,84.99,52,0,1.01,ZA,1619436547
Jojoima,7.8792,-10.7878,87.85,60,99,2.57,SL,1619436547
Geraldton,-28.7667,114.6,69.8,56,100,3.44,AU,1619436257
Zaysan,47.4667,84.8667,56.71,24,81,4.65,KZ,1619436547
Istok,42.7808,20.4875,66.0,27,75,4.61,XK,1619436547
Guamúchil,25.4667,-108.1,64.33,41,47,2.91,MX,1619436548
Carnarvon,-24.8667,113.6333,75.2,73,16,5.75,AU,1619436548
Camaná,-16.6228,-72.7111,65.62,88,22,7.58,PE,1619436548
Victoria Point,-27.5833,153.3,69.01,78,12,10.09,AU,1619436548
Lorengau,-2.0226,147.2712,81.66,76,94,0.58,PG,1619436548
Christchurch,-43.5333,172.6333,50.0,81,75,17.27,NZ,1619436548
Camopi,3.1655,-52.3158,72.86,99,100,0.72,GF,1619436548
Chulym,55.0997,80.9572,58.05,37,98,13.42,RU,1619436548
Saint-Augustin,51.226,-58.6502,38.91,65,100,11.68,CA,1619436549
Kuruman,-27.4524,23.4325,81.0,25,78,13.89,ZA,1619436549
Upernavik,72.7868,-56.1549,35.78,79,100,5.53,GL,1619436549
Vuktyl,63.8567,57.3094,41.14,77,100,5.1,RU,1619436549
Kānkon,15.0167,74.0167,89.6,70,40,12.66,IN,1619436549
Manokwari,-0.8667,134.0833,80.06,79,89,2.71,ID,1619436549
Morondava,-20.2833,44.2833,84.61,58,100,8.59,MG,1619436549
Sur,22.5667,59.5289,94.12,30,84,8.05,OM,1619436549
Taltal,-25.4,-70.4833,58.95,83,0,1.83,CL,1619436550
Apatity,67.5641,33.4031,33.49,70,93,8.48,RU,1619436550
Vernon,50.2581,-119.2691,39.99,87,37,3.44,CA,1619436550
Caicó,-6.4583,-37.0978,79.61,69,15,11.41,BR,1619436550
Broome,42.2506,-75.833,33.01,69,90,19.57,US,1619436550
Tikrit,34.6071,43.6782,104.09,9,100,22.84,IQ,1619436550
Flin Flon,54.7682,-101.865,30.2,74,40,3.44,CA,1619436550
Innoshima,34.2833,133.1833,55.4,44,0,2.3,JP,1619436551
Hambantota,6.1241,81.1185,86.0,79,20,9.22,LK,1619436551
Los Llanos de Aridane,28.6585,-17.9182,69.8,73,75,8.05,ES,1619436551
Basco,20.4487,121.9702,75.69,67,56,20.33,PH,1619436551
Coronado,32.6859,-117.1831,57.99,67,1,6.91,US,1619436551
Bela,25.9333,81.9833,106.05,5,0,8.19,IN,1619436551
Ginda,30.6945,78.4932,78.84,14,1,6.67,IN,1619436551
Sompeta,18.9333,84.6,89.1,59,17,15.75,IN,1619436485
Eséka,3.65,10.7667,90.61,53,69,3.42,CM,1619436552
Kérouané,9.2667,-9.0167,94.01,35,89,2.73,GN,1619436552
Kristinehamn,59.3098,14.1081,48.2,36,0,8.05,SE,1619436552
Merauke,-8.4667,140.3333,80.62,80,88,5.97,ID,1619436552
Portmore,17.9702,-76.8672,77.0,78,20,6.91,JM,1619436552
Vila Franca do Campo,37.7167,-25.4333,62.6,67,40,11.5,PT,1619436552
Iqaluit,63.7506,-68.5145,32.0,93,75,2.3,CA,1619436503
Pindiga,9.9833,10.9333,96.8,41,20,13.8,NG,1619436553
Honningsvåg,70.9821,25.9704,33.8,75,40,8.05,NO,1619436553
Fernández,-27.9204,-63.8935,53.91,66,0,5.26,AR,1619436553
Angoram,-4.0625,144.0661,75.13,94,67,2.48,PG,1619436553
Agüimes,27.9054,-15.4461,69.8,73,75,14.97,ES,1619436553
Kashgar,39.4547,75.9797,77.0,12,45,6.71,CN,1619436434
Florø,61.5996,5.0328,46.4,39,20,5.75,NO,1619436554
Miraflores,19.2167,-98.8083,62.6,59,40,5.75,MX,1619436554
Toamasina,-18.1667,49.3833,77.0,88,75,17.27,MG,1619436554
Shenzhen,22.5455,114.0683,75.99,89,100,1.01,CN,1619436428
Vardø,70.3705,31.1107,33.8,86,75,6.91,NO,1619436554
Campo Grande,-20.4428,-54.6464,64.4,88,40,10.36,BR,1619436554
Anloga,5.7947,0.8973,89.6,66,40,9.22,GH,1619436555
Novospasskoye,53.1468,47.7514,54.52,39,71,14.7,RU,1619436555
Sept-Îles,50.2001,-66.3821,39.2,93,90,12.66,CA,1619436555
Sarangani,5.4033,125.4636,83.84,73,84,4.81,PH,1619436556
Yokadouma,3.5167,15.05,94.6,36,44,2.95,CM,1619436556
Vila,42.0304,-8.1588,62.01,84,94,1.01,PT,1619436556
Serenje,-13.2325,30.2352,78.13,46,19,9.13,ZM,1619436556
Okhotsk,59.3833,143.3,22.19,74,33,3.31,RU,1619436556
Yulara,-25.2406,130.9889,69.8,24,0,9.22,AU,1619436557
Tautira,-17.7333,-149.15,75.2,78,20,4.61,PF,1619436557
Brovst,57.0956,9.528,51.01,29,75,5.75,DK,1619436557
Pitkyaranta,61.5734,31.4792,40.33,75,100,10.76,RU,1619436557
Rio Grande,-32.035,-52.0986,60.8,82,0,6.91,BR,1619436557
Yushala,57.0761,64.2601,53.6,30,20,11.18,RU,1619436557
Katherine,-14.4667,132.2667,82.4,65,40,6.91,AU,1619436305
Khandyga,62.6667,135.6,31.33,98,100,7.43,RU,1619436557
Acarí,-15.4311,-74.6158,66.27,86,31,1.77,PE,1619436558
Nybro,56.7446,15.9071,46.4,34,0,9.22,SE,1619436558
Pangnirtung,66.1451,-65.7125,41.0,65,90,5.75,CA,1619436558
Statesboro,32.4488,-81.7832,57.2,77,1,6.82,US,1619436558
Juan de Ayolas,-27.4,-56.9,51.6,79,0,4.32,PY,1619436559
Namatanai,-3.6667,152.4333,79.74,80,58,3.91,PG,1619436559
La Santisima Trinidad,-14.8333,-64.9,68.0,94,84,5.35,BO,1619436559
Nago,26.5881,127.9761,71.6,68,1,5.75,JP,1619436559
Pangody,65.85,74.4859,34.48,99,97,16.62,RU,1619436559
Nerchinskiy Zavod,51.3088,119.61,54.91,37,90,15.7,RU,1619436560
Tazmalt,36.3868,4.3989,80.56,26,48,9.04,DZ,1619436560
Nouadhibou,20.931,-17.0347,73.4,60,0,18.41,MR,1619436560
Nouakchott,18.0858,-15.9785,78.8,38,0,13.8,MR,1619436560
Manyana,-23.4,21.7167,81.99,15,1,11.45,BW,1619436560
Ufa,54.775,56.0375,55.4,28,75,20.13,RU,1619436560
Vallenar,-28.5708,-70.7581,54.12,90,0,2.06,CL,1619436560
Qaqortoq,60.7167,-46.0333,44.6,53,75,10.36,GL,1619436560
Macia,-25.0269,33.0989,86.04,42,2,3.6,MZ,1619436560
Port Blair,11.6667,92.75,86.0,74,40,9.93,IN,1619436561
Caravelas,-17.7125,-39.2481,78.62,75,74,6.98,BR,1619436561
Novoagansk,61.9449,76.6625,44.94,79,56,14.72,RU,1619436561
Byron Bay,-28.65,153.6167,66.2,77,75,8.05,AU,1619436561
Fare,-16.7,-151.0167,80.42,68,3,3.15,PF,1619436561
Nemuro,43.3236,145.575,34.11,59,33,10.78,JP,1619436561
Palmas Bellas,9.2319,-80.0867,77.0,100,20,2.3,PA,1619436561
Olafsvik,64.8945,-23.7142,39.83,76,5,11.05,IS,1619436561
Longyearbyen,78.2186,15.6401,21.2,58,20,13.8,SJ,1619436562
Tual,-5.6667,132.75,83.14,62,51,7.9,ID,1619436562
Chunoyar,57.4467,97.3217,40.75,79,84,6.4,RU,1619436562
Mitzic,0.7821,11.549,91.65,44,52,1.74,GA,1619436563
Huarmey,-10.0681,-78.1522,66.22,90,21,5.26,PE,1619436563
Bilibino,68.0546,166.4372,12.47,94,100,4.18,RU,1619436563
Homer,59.6425,-151.5483,42.01,69,1,4.61,US,1619436563
Laguna,38.421,-121.4238,44.01,87,1,5.61,US,1619436563
Ferme-Neuve,46.7001,-75.4493,26.6,68,97,6.91,CA,1619436563
Hakkâri Province,37.5833,44.1667,51.8,76,75,5.75,TR,1619436563
Lobito,-12.3481,13.5456,85.21,68,33,9.28,AO,1619436563
Fernie,49.5,-115.0687,37.4,87,99,10.36,CA,1619436563
Lac du Bonnet,50.2536,-96.0612,37.99,99,100,5.99,CA,1619436564
Koppies,-27.2418,27.5742,77.27,12,5,5.5,ZA,1619436564
Narsaq,60.9167,-46.05,44.6,53,75,10.36,GL,1619436564
